"Name of University","Research Score"
"De Montfort University","14.8"
"University of Derby","12"
"University of Desarrollo","10.1"
"University of Dhaka","8.6"
"Dow University of Health Sciences","8.2"
"University of Eastern Finland","29.1"
"Universidade Eduardo Mondlane","8.4"
"University of Engineering and Technology, Taxila","12.5"
"ENSTA Bretagne","23.3"
"Eötvös Loránd University","18.2"
"Fayoum University","10.4"
"Universidade Federal do Rio Grande do Sul","21.9"
"Universidade Federal de São Paulo (UNIFESP)","21.4"
"Federation University Australia","15.8"
"Gabriele d‘Annunzio University","18.9"
"University of Georgia","25.8"
"Glasgow Caledonian University","13.8"
"University of Granada","28.8"
"Graphic Era University","9"
"University of Graz","19.3"
"Graz University of Technology","20.3"
"Guangzhou University","14.3"
"Guangzhou Medical University","8.3"
"Hacettepe University","26.1"
"University of Haifa","29.1"
"Hamburg University of Technology","23.9"
"Hazara University Mansehra","10.1"
"University of Hertfordshire","13.2"
"University of Houston","28"
"University of Huddersfield","23.7"
"Icesi University","9.1"
"Ilam University of Medical Sciences","10.7"
"Imam Abdulrahman Bin Faisal University","9.9"
"Indian Institute of Technology Indore","23.7"
"Indraprastha Institute of Information Technology Delhi","17.5"
"International Islamic University, Islamabad","10.8"
"Iran University of Medical Sciences","14.9"
"Istanbul Technical University","35.5"
"Jagiellonian University","25.3"
"Jamia Hamdard University","12.6"
"Jawaharlal Nehru University","23.5"
"Jiangsu University","12.5"
"Jinan University","20.2"
"University of Johannesburg","33.4"
"Jönköping University","18.3"
"The University of Jordan","12.4"
"Jouf University","17.7"
"University of Kaiserslautern","26.7"
"Kalasalingam Academy of Research and Education","9.3"
"Kansai Medical University","8.5"
"University of Kashan","19.2"
"Universiti Kebangsaan Malaysia","23.9"
"KIIT University","13.6"
"King Saud bin Abdulaziz University for Health Sciences","13.9"
"Konkuk University","37.8"
"Kore University of Enna","12.1"
"University of Kurdistan","14.4"
"Lahore University of Management Sciences","15.7"
"Lehigh University","21.4"
"University of Limerick","30.3"
"London South Bank University","12.1"
"University of Lorraine","17.8"
"Louisiana State University","21.4"
"Lviv Polytechnic National University","10.7"
"Maharishi Markandeshwar University (MMU)","8.2"
"Majmaah University","8.5"
"University of Malakand","11.4"
"Manchester Metropolitan University","17.4"
"Mansoura University","11.5"
"Marche Polytechnic University","22.3"
"University of Maryland, Baltimore County","22.2"
"Mashhad University of Medical Sciences","13.5"
"Massey University","25.8"
"Medical University of Lodz","9.7"
"Memorial University of Newfoundland","22.7"
"Minia University","8.5"
"Mizzou - University of Missouri","25.3"
"University of Mohaghegh Ardabili","11.1"
"University of Nairobi","8.8"
"University of Namibia","8"
"Nanjing Agricultural University","24.1"
"Nantes Université","24.4"
"National Cheng Kung University (NCKU)","39.9"
"National Taiwan University of Science and Technology (Taiwan Tech)","35.9"
"National Institute of Technology Silchar","16"
"National Yunlin University of Science and Technology","27.1"
"Near East University","17.4"
"University of Nevada, Las Vegas","24.6"
"University of New Brunswick UNB","21.3"
"New Jersey Institute of Technology","20.6"
"University of North Carolina at Charlotte","19.3"
"North South University","9.3"
"North-West University","18.5"
"Norwegian University of Life Sciences","13.3"
"NOVA University of Lisbon","31.1"
"University of Occupational and Environmental Health, Japan","10.8"
"Oklahoma State University","20.5"
"Ontario Tech University","24.3"
"The Open University","16.9"
"Oxford Brookes University","22.7"
"University of Parma","22.1"
"Universidad Peruana Cayetano Heredia","12"
"University of Perugia","19.3"
"Polytechnic University of Bari","23.1"
"Polytechnic University of Turin","26.7"
"Prince Sattam Bin Abdulaziz University","9.9"
"Universiti Putra Malaysia","28.2"
"Qingdao University","14.7"
"Université du Québec","29.1"
"University of Regina","18"
"Rensselaer Polytechnic Institute","26.1"
"Riga Stradiņš University","11.2"
"Riphah International University","9"
"Rovira i Virgili University","22.3"
"Universiti Sains Malaysia","25.3"
"San Diego State University","11.1"
"University of Sannio","18.5"
